MTU (CET),Demand (MW),Price (EUR/MWh)
04.01.2018 08:00 - 04.01.2018 09:00,5066,5066
04.01.2018 09:00 - 04.01.2018 10:00,5016,5016
04.01.2018 10:00 - 04.01.2018 11:00,5045,5045
04.01.2018 11:00 - 04.01.2018 12:00,5003,5003
04.01.2018 12:00 - 04.01.2018 13:00,4922,4922
04.01.2018 13:00 - 04.01.2018 14:00,4978,4978
04.01.2018 14:00 - 04.01.2018 15:00,4936,4936
04.01.2018 15:00 - 04.01.2018 16:00,4903,4903
04.01.2018 16:00 - 04.01.2018 17:00,5153,5153
04.01.2018 17:00 - 04.01.2018 18:00,5545,5545
04.01.2018 18:00 - 04.01.2018 19:00,5315,5315
04.01.2018 19:00 - 04.01.2018 20:00,4948,4948
04.01.2018 20:00 - 04.01.2018 21:00,4597,4597
04.01.2018 21:00 - 04.01.2018 22:00,4303,4303
04.01.2018 22:00 - 04.01.2018 23:00,3953,3953
04.01.2018 23:00 - 05.01.2018 00:00,3627,3627
05.01.2018 00:00 - 05.01.2018 01:00,3420,3420
05.01.2018 01:00 - 05.01.2018 02:00,3303,3303
05.01.2018 02:00 - 05.01.2018 03:00,3249,3249
05.01.2018 03:00 - 05.01.2018 04:00,3226,3226
05.01.2018 04:00 - 05.01.2018 05:00,3306,3306
05.01.2018 05:00 - 05.01.2018 06:00,3550,3550
05.01.2018 06:00 - 05.01.2018 07:00,4204,4204
05.01.2018 07:00 - 05.01.2018 08:00,4836,4836
05.01.2018 08:00 - 05.01.2018 09:00,5109,5109
05.01.2018 09:00 - 05.01.2018 10:00,5117,5117
05.01.2018 10:00 - 05.01.2018 11:00,5174,5174
05.01.2018 11:00 - 05.01.2018 12:00,5124,5124
05.01.2018 12:00 - 05.01.2018 13:00,4980,4980
05.01.2018 13:00 - 05.01.2018 14:00,4877,4877
05.01.2018 14:00 - 05.01.2018 15:00,4724,4724
05.01.2018 15:00 - 05.01.2018 16:00,4635,4635
05.01.2018 16:00 - 05.01.2018 17:00,4885,4885
05.01.2018 17:00 - 05.01.2018 18:00,5230,5230
05.01.2018 18:00 - 05.01.2018 19:00,5034,5034
05.01.2018 19:00 - 05.01.2018 20:00,4671,4671
05.01.2018 20:00 - 05.01.2018 21:00,4357,4357
05.01.2018 21:00 - 05.01.2018 22:00,4081,4081
05.01.2018 22:00 - 05.01.2018 23:00,3819,3819
05.01.2018 23:00 - 06.01.2018 00:00,3580,3580
06.01.2018 00:00 - 06.01.2018 01:00,3359,3359
06.01.2018 01:00 - 06.01.2018 02:00,3199,3199
06.01.2018 02:00 - 06.01.2018 03:00,3131,3131
06.01.2018 03:00 - 06.01.2018 04:00,3142,3142
06.01.2018 04:00 - 06.01.2018 05:00,3168,3168
06.01.2018 05:00 - 06.01.2018 06:00,3232,3232
06.01.2018 06:00 - 06.01.2018 07:00,3410,3410
06.01.2018 07:00 - 06.01.2018 08:00,3676,3676
06.01.2018 08:00 - 06.01.2018 09:00,3999,3999
06.01.2018 09:00 - 06.01.2018 10:00,4233,4233
06.01.2018 10:00 - 06.01.2018 11:00,4370,4370
06.01.2018 11:00 - 06.01.2018 12:00,4354,4354
06.01.2018 12:00 - 06.01.2018 13:00,4280,4280
06.01.2018 13:00 - 06.01.2018 14:00,4235,4235
06.01.2018 14:00 - 06.01.2018 15:00,4205,4205
06.01.2018 15:00 - 06.01.2018 16:00,4205,4205
06.01.2018 16:00 - 06.01.2018 17:00,4485,4485
06.01.2018 17:00 - 06.01.2018 18:00,4885,4885
06.01.2018 18:00 - 06.01.2018 19:00,4814,4814
06.01.2018 19:00 - 06.01.2018 20:00,4487,4487
06.01.2018 20:00 - 06.01.2018 21:00,4205,4205
06.01.2018 21:00 - 06.01.2018 22:00,3961,3961
06.01.2018 22:00 - 06.01.2018 23:00,3759,3759
06.01.2018 23:00 - 07.01.2018 00:00,3556,3556
07.01.2018 00:00 - 07.01.2018 01:00,3357,3357
07.01.2018 01:00 - 07.01.2018 02:00,3236,3236
07.01.2018 02:00 - 07.01.2018 03:00,3185,3185
07.01.2018 03:00 - 07.01.2018 04:00,3206,3206
07.01.2018 04:00 - 07.01.2018 05:00,3248,3248
07.01.2018 05:00 - 07.01.2018 06:00,3307,3307
07.01.2018 06:00 - 07.01.2018 07:00,3467,3467
07.01.2018 07:00 - 07.01.2018 08:00,3733,3733
07.01.2018 08:00 - 07.01.2018 09:00,4040,4040
07.01.2018 09:00 - 07.01.2018 10:00,4238,4238
07.01.2018 10:00 - 07.01.2018 11:00,4312,4312
07.01.2018 11:00 - 07.01.2018 12:00,4284,4284
07.01.2018 12:00 - 07.01.2018 13:00,4190,4190
07.01.2018 13:00 - 07.01.2018 14:00,4122,4122
07.01.2018 14:00 - 07.01.2018 15:00,4119,4119
07.01.2018 15:00 - 07.01.2018 16:00,4201,4201
07.01.2018 16:00 - 07.01.2018 17:00,4584,4584
07.01.2018 17:00 - 07.01.2018 18:00,5079,5079
07.01.2018 18:00 - 07.01.2018 19:00,4985,4985
07.01.2018 19:00 - 07.01.2018 20:00,4699,4699
07.01.2018 20:00 - 07.01.2018 21:00,4390,4390
07.01.2018 21:00 - 07.01.2018 22:00,4110,4110
07.01.2018 22:00 - 07.01.2018 23:00,3815,3815
07.01.2018 23:00 - 08.01.2018 00:00,3566,3566
08.01.2018 00:00 - 08.01.2018 01:00,3430,3430
08.01.2018 01:00 - 08.01.2018 02:00,3353,3353
08.01.2018 02:00 - 08.01.2018 03:00,3351,3351
08.01.2018 03:00 - 08.01.2018 04:00,3367,3367
08.01.2018 04:00 - 08.01.2018 05:00,3438,3438
08.01.2018 05:00 - 08.01.2018 06:00,3709,3709
08.01.2018 06:00 - 08.01.2018 07:00,4376,4376
08.01.2018 07:00 - 08.01.2018 08:00,5105,5105
08.01.2018 08:00 - 08.01.2018 09:00,5361,5361
08.01.2018 09:00 - 08.01.2018 10:00,5341,5341
08.01.2018 10:00 - 08.01.2018 11:00,5315,5315
08.01.2018 11:00 - 08.01.2018 12:00,5193,5193
08.01.2018 12:00 - 08.01.2018 13:00,5093,5093
08.01.2018 13:00 - 08.01.2018 14:00,5086,5086
08.01.2018 14:00 - 08.01.2018 15:00,5060,5060
08.01.2018 15:00 - 08.01.2018 16:00,5005,5005
08.01.2018 16:00 - 08.01.2018 17:00,5251,5251
08.01.2018 17:00 - 08.01.2018 18:00,5679,5679
08.01.2018 18:00 - 08.01.2018 19:00,5422,5422
08.01.2018 19:00 - 08.01.2018 20:00,5030,5030
08.01.2018 20:00 - 08.01.2018 21:00,4690,4690
08.01.2018 21:00 - 08.01.2018 22:00,4344,4344
08.01.2018 22:00 - 08.01.2018 23:00,3971,3971
08.01.2018 23:00 - 09.01.2018 00:00,3622,3622
09.01.2018 00:00 - 09.01.2018 01:00,3409,3409
09.01.2018 01:00 - 09.01.2018 02:00,3270,3270
09.01.2018 02:00 - 09.01.2018 03:00,3200,3200
09.01.2018 03:00 - 09.01.2018 04:00,3193,3193
09.01.2018 04:00 - 09.01.2018 05:00,3192,3192
09.01.2018 05:00 - 09.01.2018 06:00,3410,3410
09.01.2018 06:00 - 09.01.2018 07:00,4011,4011
09.01.2018 07:00 - 09.01.2018 08:00,4701,4701
09.01.2018 08:00 - 09.01.2018 09:00,4899,4899
09.01.2018 09:00 - 09.01.2018 10:00,4878,4878
09.01.2018 10:00 - 09.01.2018 11:00,5034,5034
09.01.2018 11:00 - 09.01.2018 12:00,4920,4920
09.01.2018 12:00 - 09.01.2018 13:00,4809,4809
09.01.2018 13:00 - 09.01.2018 14:00,4830,4830
09.01.2018 14:00 - 09.01.2018 15:00,4741,4741
09.01.2018 15:00 - 09.01.2018 16:00,4671,4671
09.01.2018 16:00 - 09.01.2018 17:00,4884,4884
09.01.2018 17:00 - 09.01.2018 18:00,5269,5269
09.01.2018 18:00 - 09.01.2018 19:00,5060,5060
09.01.2018 19:00 - 09.01.2018 20:00,4729,4729
09.01.2018 20:00 - 09.01.2018 21:00,4382,4382
09.01.2018 21:00 - 09.01.2018 22:00,4068,4068
09.01.2018 22:00 - 09.01.2018 23:00,3740,3740
09.01.2018 23:00 - 10.01.2018 00:00,3422,3422
10.01.2018 00:00 - 10.01.2018 01:00,3204,3204
10.01.2018 01:00 - 10.01.2018 02:00,3095,3095
10.01.2018 02:00 - 10.01.2018 03:00,3063,3063
10.01.2018 03:00 - 10.01.2018 04:00,3097,3097
10.01.2018 04:00 - 10.01.2018 05:00,3202,3202
10.01.2018 05:00 - 10.01.2018 06:00,3494,3494
10.01.2018 06:00 - 10.01.2018 07:00,4167,4167
10.01.2018 07:00 - 10.01.2018 08:00,4877,4877
10.01.2018 08:00 - 10.01.2018 09:00,5095,5095
10.01.2018 09:00 - 10.01.2018 10:00,5109,5109
10.01.2018 10:00 - 10.01.2018 11:00,5209,5209
10.01.2018 11:00 - 10.01.2018 12:00,5235,5235
10.01.2018 12:00 - 10.01.2018 13:00,5165,5165
10.01.2018 13:00 - 10.01.2018 14:00,5164,5164
10.01.2018 14:00 - 10.01.2018 15:00,5045,5045
10.01.2018 15:00 - 10.01.2018 16:00,4962,4962
10.01.2018 16:00 - 10.01.2018 17:00,5127,5127
10.01.2018 17:00 - 10.01.2018 18:00,5472,5472
10.01.2018 18:00 - 10.01.2018 19:00,5214,5214
10.01.2018 19:00 - 10.01.2018 20:00,4891,4891
10.01.2018 20:00 - 10.01.2018 21:00,4604,4604
10.01.2018 21:00 - 10.01.2018 22:00,4288,4288
10.01.2018 22:00 - 10.01.2018 23:00,3938,3938
10.01.2018 23:00 - 11.01.2018 00:00,3621,3621
11.01.2018 00:00 - 11.01.2018 01:00,3407,3407
11.01.2018 01:00 - 11.01.2018 02:00,3292,3292
11.01.2018 02:00 - 11.01.2018 03:00,3240,3240
11.01.2018 03:00 - 11.01.2018 04:00,3241,3241
11.01.2018 04:00 - 11.01.2018 05:00,3303,3303
11.01.2018 05:00 - 11.01.2018 06:00,3544,3544
11.01.2018 06:00 - 11.01.2018 07:00,4228,4228
11.01.2018 07:00 - 11.01.2018 08:00,4922,4922
11.01.2018 08:00 - 11.01.2018 09:00,5156,5156
11.01.2018 09:00 - 11.01.2018 10:00,5161,5161
11.01.2018 10:00 - 11.01.2018 11:00,5227,5227
11.01.2018 11:00 - 11.01.2018 12:00,5190,5190
11.01.2018 12:00 - 11.01.2018 13:00,5099,5099
11.01.2018 13:00 - 11.01.2018 14:00,5096,5096
11.01.2018 14:00 - 11.01.2018 15:00,5048,5048
11.01.2018 15:00 - 11.01.2018 16:00,4968,4968
11.01.2018 16:00 - 11.01.2018 17:00,5148,5148
11.01.2018 17:00 - 11.01.2018 18:00,5450,5450
11.01.2018 18:00 - 11.01.2018 19:00,5181,5181
11.01.2018 19:00 - 11.01.2018 20:00,4877,4877
11.01.2018 20:00 - 11.01.2018 21:00,4541,4541
11.01.2018 21:00 - 11.01.2018 22:00,4190,4190
11.01.2018 22:00 - 11.01.2018 23:00,3849,3849
11.01.2018 23:00 - 12.01.2018 00:00,3532,3532
12.01.2018 00:00 - 12.01.2018 01:00,3309,3309
12.01.2018 01:00 - 12.01.2018 02:00,3206,3206
12.01.2018 02:00 - 12.01.2018 03:00,3147,3147
12.01.2018 03:00 - 12.01.2018 04:00,3140,3140
12.01.2018 04:00 - 12.01.2018 05:00,3211,3211
12.01.2018 05:00 - 12.01.2018 06:00,3458,3458
12.01.2018 06:00 - 12.01.2018 07:00,4129,4129
12.01.2018 07:00 - 12.01.2018 08:00,4841,4841
12.01.2018 08:00 - 12.01.2018 09:00,5087,5087
12.01.2018 09:00 - 12.01.2018 10:00,5051,5051
12.01.2018 10:00 - 12.01.2018 11:00,5106,5106
12.01.2018 11:00 - 12.01.2018 12:00,5071,5071
12.01.2018 12:00 - 12.01.2018 13:00,4947,4947
12.01.2018 13:00 - 12.01.2018 14:00,4869,4869
12.01.2018 14:00 - 12.01.2018 15:00,4741,4741
12.01.2018 15:00 - 12.01.2018 16:00,4675,4675
12.01.2018 16:00 - 12.01.2018 17:00,4882,4882
12.01.2018 17:00 - 12.01.2018 18:00,5206,5206
12.01.2018 18:00 - 12.01.2018 19:00,5040,5040
12.01.2018 19:00 - 12.01.2018 20:00,4643,4643
12.01.2018 20:00 - 12.01.2018 21:00,4290,4290
12.01.2018 21:00 - 12.01.2018 22:00,4006,4006
12.01.2018 22:00 - 12.01.2018 23:00,3748,3748
12.01.2018 23:00 - 13.01.2018 00:00,3461,3461
13.01.2018 00:00 - 13.01.2018 01:00,3252,3252
13.01.2018 01:00 - 13.01.2018 02:00,3103,3103
13.01.2018 02:00 - 13.01.2018 03:00,3010,3010
13.01.2018 03:00 - 13.01.2018 04:00,2990,2990
13.01.2018 04:00 - 13.01.2018 05:00,3007,3007
13.01.2018 05:00 - 13.01.2018 06:00,3088,3088
13.01.2018 06:00 - 13.01.2018 07:00,3297,3297
13.01.2018 07:00 - 13.01.2018 08:00,3620,3620
13.01.2018 08:00 - 13.01.2018 09:00,3976,3976
13.01.2018 09:00 - 13.01.2018 10:00,4212,4212
13.01.2018 10:00 - 13.01.2018 11:00,4371,4371
13.01.2018 11:00 - 13.01.2018 12:00,4398,4398
13.01.2018 12:00 - 13.01.2018 13:00,4337,4337
13.01.2018 13:00 - 13.01.2018 14:00,4277,4277
13.01.2018 14:00 - 13.01.2018 15:00,4251,4251
13.01.2018 15:00 - 13.01.2018 16:00,4283,4283
13.01.2018 16:00 - 13.01.2018 17:00,4475,4475
13.01.2018 17:00 - 13.01.2018 18:00,4832,4832
13.01.2018 18:00 - 13.01.2018 19:00,4689,4689
13.01.2018 19:00 - 13.01.2018 20:00,4302,4302
13.01.2018 20:00 - 13.01.2018 21:00,4027,4027
13.01.2018 21:00 - 13.01.2018 22:00,3790,3790
13.01.2018 22:00 - 13.01.2018 23:00,3589,3589
13.01.2018 23:00 - 14.01.2018 00:00,3346,3346
14.01.2018 00:00 - 14.01.2018 01:00,3185,3185
14.01.2018 01:00 - 14.01.2018 02:00,3104,3104
14.01.2018 02:00 - 14.01.2018 03:00,3052,3052
14.01.2018 03:00 - 14.01.2018 04:00,3056,3056
14.01.2018 04:00 - 14.01.2018 05:00,3068,3068
14.01.2018 05:00 - 14.01.2018 06:00,3113,3113
14.01.2018 06:00 - 14.01.2018 07:00,3259,3259
14.01.2018 07:00 - 14.01.2018 08:00,3503,3503
14.01.2018 08:00 - 14.01.2018 09:00,3791,3791
14.01.2018 09:00 - 14.01.2018 10:00,4023,4023
14.01.2018 10:00 - 14.01.2018 11:00,4223,4223
14.01.2018 11:00 - 14.01.2018 12:00,4265,4265
14.01.2018 12:00 - 14.01.2018 13:00,4207,4207
14.01.2018 13:00 - 14.01.2018 14:00,4180,4180
14.01.2018 14:00 - 14.01.2018 15:00,4155,4155
14.01.2018 15:00 - 14.01.2018 16:00,4173,4173
14.01.2018 16:00 - 14.01.2018 17:00,4443,4443
14.01.2018 17:00 - 14.01.2018 18:00,4875,4875
14.01.2018 18:00 - 14.01.2018 19:00,4712,4712
14.01.2018 19:00 - 14.01.2018 20:00,4420,4420
14.01.2018 20:00 - 14.01.2018 21:00,4111,4111
14.01.2018 21:00 - 14.01.2018 22:00,3862,3862
14.01.2018 22:00 - 14.01.2018 23:00,3590,3590
14.01.2018 23:00 - 15.01.2018 00:00,3353,3353
15.01.2018 00:00 - 15.01.2018 01:00,3171,3171
15.01.2018 01:00 - 15.01.2018 02:00,3034,3034
15.01.2018 02:00 - 15.01.2018 03:00,2992,2992
15.01.2018 03:00 - 15.01.2018 04:00,3020,3020
15.01.2018 04:00 - 15.01.2018 05:00,3156,3156
15.01.2018 05:00 - 15.01.2018 06:00,3324,3324
15.01.2018 06:00 - 15.01.2018 07:00,4073,4073
15.01.2018 07:00 - 15.01.2018 08:00,4798,4798
15.01.2018 08:00 - 15.01.2018 09:00,5021,5021
15.01.2018 09:00 - 15.01.2018 10:00,5003,5003
15.01.2018 10:00 - 15.01.2018 11:00,5106,5106
15.01.2018 11:00 - 15.01.2018 12:00,5103,5103
15.01.2018 12:00 - 15.01.2018 13:00,4952,4952
15.01.2018 13:00 - 15.01.2018 14:00,5020,5020
15.01.2018 14:00 - 15.01.2018 15:00,4999,4999
15.01.2018 15:00 - 15.01.2018 16:00,4960,4960
15.01.2018 16:00 - 15.01.2018 17:00,5138,5138
15.01.2018 17:00 - 15.01.2018 18:00,5459,5459
15.01.2018 18:00 - 15.01.2018 19:00,5249,5249
15.01.2018 19:00 - 15.01.2018 20:00,4939,4939
15.01.2018 20:00 - 15.01.2018 21:00,4634,4634
15.01.2018 21:00 - 15.01.2018 22:00,4361,4361
15.01.2018 22:00 - 15.01.2018 23:00,4002,4002
15.01.2018 23:00 - 16.01.2018 00:00,3669,3669
16.01.2018 00:00 - 16.01.2018 01:00,3430,3430
16.01.2018 01:00 - 16.01.2018 02:00,3347,3347
16.01.2018 02:00 - 16.01.2018 03:00,3229,3229
16.01.2018 03:00 - 16.01.2018 04:00,3244,3244
16.01.2018 04:00 - 16.01.2018 05:00,3349,3349
16.01.2018 05:00 - 16.01.2018 06:00,3681,3681
16.01.2018 06:00 - 16.01.2018 07:00,4277,4277
16.01.2018 07:00 - 16.01.2018 08:00,4915,4915
16.01.2018 08:00 - 16.01.2018 09:00,5116,5116
16.01.2018 09:00 - 16.01.2018 10:00,5109,5109
16.01.2018 10:00 - 16.01.2018 11:00,5165,5165
16.01.2018 11:00 - 16.01.2018 12:00,5176,5176
16.01.2018 12:00 - 16.01.2018 13:00,5092,5092
16.01.2018 13:00 - 16.01.2018 14:00,5053,5053
16.01.2018 14:00 - 16.01.2018 15:00,5024,5024
16.01.2018 15:00 - 16.01.2018 16:00,4947,4947
16.01.2018 16:00 - 16.01.2018 17:00,5110,5110
16.01.2018 17:00 - 16.01.2018 18:00,5447,5447
16.01.2018 18:00 - 16.01.2018 19:00,5245,5245
16.01.2018 19:00 - 16.01.2018 20:00,4919,4919
16.01.2018 20:00 - 16.01.2018 21:00,4580,4580
16.01.2018 21:00 - 16.01.2018 22:00,4254,4254
16.01.2018 22:00 - 16.01.2018 23:00,3906,3906
16.01.2018 23:00 - 17.01.2018 00:00,3602,3602
17.01.2018 00:00 - 17.01.2018 01:00,3439,3439
17.01.2018 01:00 - 17.01.2018 02:00,3352,3352
17.01.2018 02:00 - 17.01.2018 03:00,3309,3309
17.01.2018 03:00 - 17.01.2018 04:00,3307,3307
17.01.2018 04:00 - 17.01.2018 05:00,3384,3384
17.01.2018 05:00 - 17.01.2018 06:00,3639,3639
17.01.2018 06:00 - 17.01.2018 07:00,4269,4269
17.01.2018 07:00 - 17.01.2018 08:00,4955,4955
17.01.2018 08:00 - 17.01.2018 09:00,5168,5168
17.01.2018 09:00 - 17.01.2018 10:00,7398,7398
17.01.2018 10:00 - 17.01.2018 11:00,5286,5286
17.01.2018 11:00 - 17.01.2018 12:00,5236,5236
17.01.2018 12:00 - 17.01.2018 13:00,5133,5133
17.01.2018 13:00 - 17.01.2018 14:00,5124,5124
17.01.2018 14:00 - 17.01.2018 15:00,5070,5070
17.01.2018 15:00 - 17.01.2018 16:00,4963,4963
17.01.2018 16:00 - 17.01.2018 17:00,5150,5150
17.01.2018 17:00 - 17.01.2018 18:00,5516,5516
17.01.2018 18:00 - 17.01.2018 19:00,5316,5316
17.01.2018 19:00 - 17.01.2018 20:00,4982,4982
17.01.2018 20:00 - 17.01.2018 21:00,4684,4684
17.01.2018 21:00 - 17.01.2018 22:00,4341,4341
17.01.2018 22:00 - 17.01.2018 23:00,3985,3985
17.01.2018 23:00 - 18.01.2018 00:00,3681,3681
18.01.2018 00:00 - 18.01.2018 01:00,3435,3435
18.01.2018 01:00 - 18.01.2018 02:00,3330,3330
18.01.2018 02:00 - 18.01.2018 03:00,3293,3293
18.01.2018 03:00 - 18.01.2018 04:00,3303,3303
18.01.2018 04:00 - 18.01.2018 05:00,3357,3357
18.01.2018 05:00 - 18.01.2018 06:00,3610,3610
18.01.2018 06:00 - 18.01.2018 07:00,4253,4253
18.01.2018 07:00 - 18.01.2018 08:00,4929,4929
18.01.2018 08:00 - 18.01.2018 09:00,5211,5211
18.01.2018 09:00 - 18.01.2018 10:00,5206,5206
18.01.2018 10:00 - 18.01.2018 11:00,5299,5299
18.01.2018 11:00 - 18.01.2018 12:00,5294,5294
18.01.2018 12:00 - 18.01.2018 13:00,5197,5197
18.01.2018 13:00 - 18.01.2018 14:00,5208,5208
18.01.2018 14:00 - 18.01.2018 15:00,5132,5132
18.01.2018 15:00 - 18.01.2018 16:00,5045,5045
18.01.2018 16:00 - 18.01.2018 17:00,5170,5170
18.01.2018 17:00 - 18.01.2018 18:00,5540,5540
18.01.2018 18:00 - 18.01.2018 19:00,5330,5330
18.01.2018 19:00 - 18.01.2018 20:00,5005,5005
18.01.2018 20:00 - 18.01.2018 21:00,4676,4676
18.01.2018 21:00 - 18.01.2018 22:00,4365,4365
18.01.2018 22:00 - 18.01.2018 23:00,3998,3998
18.01.2018 23:00 - 19.01.2018 00:00,3670,3670
19.01.2018 00:00 - 19.01.2018 01:00,3485,3485
19.01.2018 01:00 - 19.01.2018 02:00,3375,3375
19.01.2018 02:00 - 19.01.2018 03:00,3310,3310
19.01.2018 03:00 - 19.01.2018 04:00,3313,3313
19.01.2018 04:00 - 19.01.2018 05:00,3397,3397
19.01.2018 05:00 - 19.01.2018 06:00,3656,3656
19.01.2018 06:00 - 19.01.2018 07:00,4298,4298
19.01.2018 07:00 - 19.01.2018 08:00,4976,4976
19.01.2018 08:00 - 19.01.2018 09:00,5195,5195
19.01.2018 09:00 - 19.01.2018 10:00,5176,5176
19.01.2018 10:00 - 19.01.2018 11:00,5207,5207
19.01.2018 11:00 - 19.01.2018 12:00,5075,5075
19.01.2018 12:00 - 19.01.2018 13:00,4954,4954
19.01.2018 13:00 - 19.01.2018 14:00,4849,4849
19.01.2018 14:00 - 19.01.2018 15:00,4716,4716
19.01.2018 15:00 - 19.01.2018 16:00,4637,4637
19.01.2018 16:00 - 19.01.2018 17:00,4820,4820
19.01.2018 17:00 - 19.01.2018 18:00,5214,5214
19.01.2018 18:00 - 19.01.2018 19:00,5047,5047
19.01.2018 19:00 - 19.01.2018 20:00,4637,4637
19.01.2018 20:00 - 19.01.2018 21:00,4327,4327
19.01.2018 21:00 - 19.01.2018 22:00,4051,4051
19.01.2018 22:00 - 19.01.2018 23:00,3790,3790
19.01.2018 23:00 - 20.01.2018 00:00,3550,3550
20.01.2018 00:00 - 20.01.2018 01:00,3299,3299
20.01.2018 01:00 - 20.01.2018 02:00,3145,3145
20.01.2018 02:00 - 20.01.2018 03:00,3076,3076
20.01.2018 03:00 - 20.01.2018 04:00,3071,3071
20.01.2018 04:00 - 20.01.2018 05:00,3076,3076
20.01.2018 05:00 - 20.01.2018 06:00,3152,3152
20.01.2018 06:00 - 20.01.2018 07:00,3355,3355
20.01.2018 07:00 - 20.01.2018 08:00,3648,3648
