MTU (CET),Demand (MW),Price (EUR/MWh)
07.01.2018 03:00 - 07.01.2018 04:00,2648,26.16
07.01.2018 04:00 - 07.01.2018 05:00,2714,26.6
07.01.2018 05:00 - 07.01.2018 06:00,2959,27.14
07.01.2018 06:00 - 07.01.2018 07:00,3235,27.43
07.01.2018 07:00 - 07.01.2018 08:00,3444,27.69
07.01.2018 08:00 - 07.01.2018 09:00,3601,27.93
07.01.2018 09:00 - 07.01.2018 10:00,3711,28.33
07.01.2018 10:00 - 07.01.2018 11:00,3741,28.79
07.01.2018 11:00 - 07.01.2018 12:00,3768,28.95
07.01.2018 12:00 - 07.01.2018 13:00,3780,28.96
07.01.2018 13:00 - 07.01.2018 14:00,3742,28.27
07.01.2018 14:00 - 07.01.2018 15:00,3780,28.29
07.01.2018 15:00 - 07.01.2018 16:00,3893,28.62
07.01.2018 16:00 - 07.01.2018 17:00,3973,29.38
07.01.2018 17:00 - 07.01.2018 18:00,3972,30.88
07.01.2018 18:00 - 07.01.2018 19:00,3940,31.51
07.01.2018 19:00 - 07.01.2018 20:00,3820,31.12
07.01.2018 20:00 - 07.01.2018 21:00,3642,29.96
07.01.2018 21:00 - 07.01.2018 22:00,3367,28.94
07.01.2018 22:00 - 07.01.2018 23:00,3060,28.9
07.01.2018 23:00 - 08.01.2018 00:00,2895,27.57
08.01.2018 00:00 - 08.01.2018 01:00,2791,25.03
08.01.2018 01:00 - 08.01.2018 02:00,2718,23.96
08.01.2018 02:00 - 08.01.2018 03:00,2700,23.92
08.01.2018 03:00 - 08.01.2018 04:00,2726,25.48
08.01.2018 04:00 - 08.01.2018 05:00,2886,26.12
08.01.2018 05:00 - 08.01.2018 06:00,3372,27.96
08.01.2018 06:00 - 08.01.2018 07:00,3895,29.62
08.01.2018 07:00 - 08.01.2018 08:00,4239,38.84333333
08.01.2018 08:00 - 08.01.2018 09:00,4352,43.13666667
08.01.2018 09:00 - 08.01.2018 10:00,4368,42.57
08.01.2018 10:00 - 08.01.2018 11:00,4359,41.14666667
08.01.2018 11:00 - 08.01.2018 12:00,4281,39.65
08.01.2018 12:00 - 08.01.2018 13:00,4337,38.94333333
08.01.2018 13:00 - 08.01.2018 14:00,4359,38.88333333
08.01.2018 14:00 - 08.01.2018 15:00,4312,38.07
08.01.2018 15:00 - 08.01.2018 16:00,4419,39.98333333
08.01.2018 16:00 - 08.01.2018 17:00,4401,39.69
08.01.2018 17:00 - 08.01.2018 18:00,4316,40.26
08.01.2018 18:00 - 08.01.2018 19:00,4174,35.70333333
08.01.2018 19:00 - 08.01.2018 20:00,4037,31.16
08.01.2018 20:00 - 08.01.2018 21:00,3809,29.68
08.01.2018 21:00 - 08.01.2018 22:00,3465,28.92
08.01.2018 22:00 - 08.01.2018 23:00,3170,28.49
08.01.2018 23:00 - 09.01.2018 00:00,2931,28.09
09.01.2018 00:00 - 09.01.2018 01:00,2817,27.17
09.01.2018 01:00 - 09.01.2018 02:00,2750,25.29
09.01.2018 02:00 - 09.01.2018 03:00,2731,25.3
09.01.2018 03:00 - 09.01.2018 04:00,2745,26.58
09.01.2018 04:00 - 09.01.2018 05:00,2878,27.26
09.01.2018 05:00 - 09.01.2018 06:00,3263,28.25
09.01.2018 06:00 - 09.01.2018 07:00,3689,28.99
09.01.2018 07:00 - 09.01.2018 08:00,3996,39.05
09.01.2018 08:00 - 09.01.2018 09:00,4105,39.07
09.01.2018 09:00 - 09.01.2018 10:00,4157,39.44
09.01.2018 10:00 - 09.01.2018 11:00,4152,39.48
09.01.2018 11:00 - 09.01.2018 12:00,4095,40.59
09.01.2018 12:00 - 09.01.2018 13:00,4123,39.87
09.01.2018 13:00 - 09.01.2018 14:00,4096,40
09.01.2018 14:00 - 09.01.2018 15:00,4107,39.63
09.01.2018 15:00 - 09.01.2018 16:00,4324,40.7
09.01.2018 16:00 - 09.01.2018 17:00,4369,42.17
09.01.2018 17:00 - 09.01.2018 18:00,4285,42.21
09.01.2018 18:00 - 09.01.2018 19:00,4210,42.09
09.01.2018 19:00 - 09.01.2018 20:00,4069,31.5
09.01.2018 20:00 - 09.01.2018 21:00,3775,30.59
09.01.2018 21:00 - 09.01.2018 22:00,3466,30.15
09.01.2018 22:00 - 09.01.2018 23:00,3185,29.23
09.01.2018 23:00 - 10.01.2018 00:00,2970,28.56
10.01.2018 00:00 - 10.01.2018 01:00,2852,28.87
10.01.2018 01:00 - 10.01.2018 02:00,2782,28.3
10.01.2018 02:00 - 10.01.2018 03:00,2759,27.95
10.01.2018 03:00 - 10.01.2018 04:00,2780,27.57
10.01.2018 04:00 - 10.01.2018 05:00,2893,28.04
10.01.2018 05:00 - 10.01.2018 06:00,3283,30.17
10.01.2018 06:00 - 10.01.2018 07:00,3717,36.62
10.01.2018 07:00 - 10.01.2018 08:00,4026,44.01
10.01.2018 08:00 - 10.01.2018 09:00,4132,47.98
10.01.2018 09:00 - 10.01.2018 10:00,4185,47.98
10.01.2018 10:00 - 10.01.2018 11:00,4174,48.04
10.01.2018 11:00 - 10.01.2018 12:00,4101,47.78
10.01.2018 12:00 - 10.01.2018 13:00,4135,47.09
10.01.2018 13:00 - 10.01.2018 14:00,4113,44.15
10.01.2018 14:00 - 10.01.2018 15:00,4150,46.02
10.01.2018 15:00 - 10.01.2018 16:00,4282,48.03
10.01.2018 16:00 - 10.01.2018 17:00,4332,48.9
10.01.2018 17:00 - 10.01.2018 18:00,4247,51.9
10.01.2018 18:00 - 10.01.2018 19:00,4144,52.69
10.01.2018 19:00 - 10.01.2018 20:00,4010,44.94
10.01.2018 20:00 - 10.01.2018 21:00,3788,39.72
10.01.2018 21:00 - 10.01.2018 22:00,3480,35.81
10.01.2018 22:00 - 10.01.2018 23:00,3187,31.92
10.01.2018 23:00 - 11.01.2018 00:00,3005,30.34
11.01.2018 00:00 - 11.01.2018 01:00,2853,31.01
11.01.2018 01:00 - 11.01.2018 02:00,2781,30.03
11.01.2018 02:00 - 11.01.2018 03:00,2765,29.86
11.01.2018 03:00 - 11.01.2018 04:00,2802,29.97
11.01.2018 04:00 - 11.01.2018 05:00,2953,30.95
11.01.2018 05:00 - 11.01.2018 06:00,3423,33.24
11.01.2018 06:00 - 11.01.2018 07:00,3950,39.44
11.01.2018 07:00 - 11.01.2018 08:00,4318,51.37
11.01.2018 08:00 - 11.01.2018 09:00,4427,55.65
11.01.2018 09:00 - 11.01.2018 10:00,4399,55.11
11.01.2018 10:00 - 11.01.2018 11:00,4358,55.13
11.01.2018 11:00 - 11.01.2018 12:00,4317,54.57
11.01.2018 12:00 - 11.01.2018 13:00,4373,52.86
11.01.2018 13:00 - 11.01.2018 14:00,4351,46.87
11.01.2018 14:00 - 11.01.2018 15:00,4411,49.91
11.01.2018 15:00 - 11.01.2018 16:00,4489,52.28
11.01.2018 16:00 - 11.01.2018 17:00,4488,54.81
11.01.2018 17:00 - 11.01.2018 18:00,4395,56.38
11.01.2018 18:00 - 11.01.2018 19:00,4271,56.1
11.01.2018 19:00 - 11.01.2018 20:00,4117,40.06
11.01.2018 20:00 - 11.01.2018 21:00,3898,35.14
11.01.2018 21:00 - 11.01.2018 22:00,3567,33.14
11.01.2018 22:00 - 11.01.2018 23:00,3243,31.05
11.01.2018 23:00 - 12.01.2018 00:00,2995,30.06
12.01.2018 00:00 - 12.01.2018 01:00,2927,30
12.01.2018 01:00 - 12.01.2018 02:00,2862,29.42
12.01.2018 02:00 - 12.01.2018 03:00,2834,29.2
12.01.2018 03:00 - 12.01.2018 04:00,2865,29.18
12.01.2018 04:00 - 12.01.2018 05:00,3012,29.6
12.01.2018 05:00 - 12.01.2018 06:00,3519,31.22
12.01.2018 06:00 - 12.01.2018 07:00,4049,38.52
12.01.2018 07:00 - 12.01.2018 08:00,4390,46.82
12.01.2018 08:00 - 12.01.2018 09:00,4501,47.08
12.01.2018 09:00 - 12.01.2018 10:00,4491,44.35
12.01.2018 10:00 - 12.01.2018 11:00,4454,43.57
12.01.2018 11:00 - 12.01.2018 12:00,4369,43.44
12.01.2018 12:00 - 12.01.2018 13:00,4415,39.58
12.01.2018 13:00 - 12.01.2018 14:00,4397,37.63
12.01.2018 14:00 - 12.01.2018 15:00,4392,40.11
12.01.2018 15:00 - 12.01.2018 16:00,4477,43.35
12.01.2018 16:00 - 12.01.2018 17:00,4506,44.07
12.01.2018 17:00 - 12.01.2018 18:00,4400,45.89
12.01.2018 18:00 - 12.01.2018 19:00,4270,43.53
12.01.2018 19:00 - 12.01.2018 20:00,4128,33.11
12.01.2018 20:00 - 12.01.2018 21:00,3891,31.56
12.01.2018 21:00 - 12.01.2018 22:00,3589,31.45
12.01.2018 22:00 - 12.01.2018 23:00,3302,30.36
12.01.2018 23:00 - 13.01.2018 00:00,3087,29.54
13.01.2018 00:00 - 13.01.2018 01:00,2942,30.15
13.01.2018 01:00 - 13.01.2018 02:00,2872,29.63
13.01.2018 02:00 - 13.01.2018 03:00,2839,29.16
13.01.2018 03:00 - 13.01.2018 04:00,2846,28.93
13.01.2018 04:00 - 13.01.2018 05:00,2935,28.79
13.01.2018 05:00 - 13.01.2018 06:00,3182,28.98
13.01.2018 06:00 - 13.01.2018 07:00,3522,29.35
13.01.2018 07:00 - 13.01.2018 08:00,3802,30.28
13.01.2018 08:00 - 13.01.2018 09:00,3959,31.48
13.01.2018 09:00 - 13.01.2018 10:00,4033,32.36
13.01.2018 10:00 - 13.01.2018 11:00,4056,37.28
13.01.2018 11:00 - 13.01.2018 12:00,4030,37.44
13.01.2018 12:00 - 13.01.2018 13:00,4009,35.61
13.01.2018 13:00 - 13.01.2018 14:00,3994,31.94
13.01.2018 14:00 - 13.01.2018 15:00,4014,34.22
13.01.2018 15:00 - 13.01.2018 16:00,4139,38.29
13.01.2018 16:00 - 13.01.2018 17:00,4204,41.24
13.01.2018 17:00 - 13.01.2018 18:00,4120,37.96
13.01.2018 18:00 - 13.01.2018 19:00,4075,36.71
13.01.2018 19:00 - 13.01.2018 20:00,3957,32.07
13.01.2018 20:00 - 13.01.2018 21:00,3782,30.59
13.01.2018 21:00 - 13.01.2018 22:00,3524,29.8
13.01.2018 22:00 - 13.01.2018 23:00,3272,29.34
13.01.2018 23:00 - 14.01.2018 00:00,3062,28.8
14.01.2018 00:00 - 14.01.2018 01:00,2911,28.9
14.01.2018 01:00 - 14.01.2018 02:00,2834,28.44
14.01.2018 02:00 - 14.01.2018 03:00,2800,28.06
14.01.2018 03:00 - 14.01.2018 04:00,2806,27.97
14.01.2018 04:00 - 14.01.2018 05:00,2884,27.87
14.01.2018 05:00 - 14.01.2018 06:00,3098,28.01
14.01.2018 06:00 - 14.01.2018 07:00,3399,28.35
14.01.2018 07:00 - 14.01.2018 08:00,3660,28.55
14.01.2018 08:00 - 14.01.2018 09:00,3840,28.83
14.01.2018 09:00 - 14.01.2018 10:00,3942,29.41
14.01.2018 10:00 - 14.01.2018 11:00,3982,29.74
14.01.2018 11:00 - 14.01.2018 12:00,3965,30.13
14.01.2018 12:00 - 14.01.2018 13:00,3961,29.81
14.01.2018 13:00 - 14.01.2018 14:00,3950,29.44
14.01.2018 14:00 - 14.01.2018 15:00,3960,29.94
14.01.2018 15:00 - 14.01.2018 16:00,4107,31.32
14.01.2018 16:00 - 14.01.2018 17:00,4306,33.73666667
14.01.2018 17:00 - 14.01.2018 18:00,4253,36.04666667
14.01.2018 18:00 - 14.01.2018 19:00,4197,35.05333333
14.01.2018 19:00 - 14.01.2018 20:00,4076,32.71333333
14.01.2018 20:00 - 14.01.2018 21:00,3872,33.79666667
14.01.2018 21:00 - 14.01.2018 22:00,3578,29.69
14.01.2018 22:00 - 14.01.2018 23:00,3260,29.33
14.01.2018 23:00 - 15.01.2018 00:00,3085,28.82
15.01.2018 00:00 - 15.01.2018 01:00,2793,26.9
15.01.2018 01:00 - 15.01.2018 02:00,2723,24.61
15.01.2018 02:00 - 15.01.2018 03:00,2704,23.1
15.01.2018 03:00 - 15.01.2018 04:00,2737,20.89
15.01.2018 04:00 - 15.01.2018 05:00,2893,27.15
15.01.2018 05:00 - 15.01.2018 06:00,3393,28.74
15.01.2018 06:00 - 15.01.2018 07:00,3950,31.28
15.01.2018 07:00 - 15.01.2018 08:00,4311,42.11
15.01.2018 08:00 - 15.01.2018 09:00,4432,39.42
15.01.2018 09:00 - 15.01.2018 10:00,4406,37.51
15.01.2018 10:00 - 15.01.2018 11:00,4372,38.09
15.01.2018 11:00 - 15.01.2018 12:00,4283,36.41
15.01.2018 12:00 - 15.01.2018 13:00,4323,35.53
15.01.2018 13:00 - 15.01.2018 14:00,4282,37.41
15.01.2018 14:00 - 15.01.2018 15:00,4263,38.75
15.01.2018 15:00 - 15.01.2018 16:00,4334,41.62
15.01.2018 16:00 - 15.01.2018 17:00,4437,39.43
15.01.2018 17:00 - 15.01.2018 18:00,4377,38.38
15.01.2018 18:00 - 15.01.2018 19:00,4255,39.66
15.01.2018 19:00 - 15.01.2018 20:00,4084,29.16
15.01.2018 20:00 - 15.01.2018 21:00,3882,28.86
15.01.2018 21:00 - 15.01.2018 22:00,3518,28.03
15.01.2018 22:00 - 15.01.2018 23:00,3212,24.71
15.01.2018 23:00 - 16.01.2018 00:00,2919,16.53
16.01.2018 00:00 - 16.01.2018 01:00,2819,26.14
16.01.2018 01:00 - 16.01.2018 02:00,2745,23.78
16.01.2018 02:00 - 16.01.2018 03:00,2731,20.39
16.01.2018 03:00 - 16.01.2018 04:00,2760,21.51
16.01.2018 04:00 - 16.01.2018 05:00,2905,23.69
16.01.2018 05:00 - 16.01.2018 06:00,3418,27.91
16.01.2018 06:00 - 16.01.2018 07:00,3934,30.01
16.01.2018 07:00 - 16.01.2018 08:00,4274,35.47
16.01.2018 08:00 - 16.01.2018 09:00,4383,34.87
16.01.2018 09:00 - 16.01.2018 10:00,4361,34.87
16.01.2018 10:00 - 16.01.2018 11:00,4313,33.35
16.01.2018 11:00 - 16.01.2018 12:00,4202,32.97
16.01.2018 12:00 - 16.01.2018 13:00,4262,33.35
16.01.2018 13:00 - 16.01.2018 14:00,4220,32.9
16.01.2018 14:00 - 16.01.2018 15:00,4200,32.89
16.01.2018 15:00 - 16.01.2018 16:00,4269,34.85
16.01.2018 16:00 - 16.01.2018 17:00,4369,36.94
16.01.2018 17:00 - 16.01.2018 18:00,4314,42.18
16.01.2018 18:00 - 16.01.2018 19:00,4222,44.34
16.01.2018 19:00 - 16.01.2018 20:00,4066,33.99
16.01.2018 20:00 - 16.01.2018 21:00,3861,33.8
16.01.2018 21:00 - 16.01.2018 22:00,3512,30.69
16.01.2018 22:00 - 16.01.2018 23:00,3182,29.38
16.01.2018 23:00 - 17.01.2018 00:00,2921,27.88
17.01.2018 00:00 - 17.01.2018 01:00,2827,28.14
17.01.2018 01:00 - 17.01.2018 02:00,2759,27.93
17.01.2018 02:00 - 17.01.2018 03:00,2743,27.85666667
17.01.2018 03:00 - 17.01.2018 04:00,2786,27.87
17.01.2018 04:00 - 17.01.2018 05:00,2941,29.35666667
17.01.2018 05:00 - 17.01.2018 06:00,3444,33.70666667
17.01.2018 06:00 - 17.01.2018 07:00,3973,43.6
17.01.2018 07:00 - 17.01.2018 08:00,4310,67.32
17.01.2018 08:00 - 17.01.2018 09:00,4434,49.1
17.01.2018 09:00 - 17.01.2018 10:00,4409,49.02
17.01.2018 10:00 - 17.01.2018 11:00,4351,46.23666667
17.01.2018 11:00 - 17.01.2018 12:00,4243,46.26333333
17.01.2018 12:00 - 17.01.2018 13:00,4286,46.19
17.01.2018 13:00 - 17.01.2018 14:00,4237,46.16333333
17.01.2018 14:00 - 17.01.2018 15:00,4217,47.55
17.01.2018 15:00 - 17.01.2018 16:00,4334,58.3
17.01.2018 16:00 - 17.01.2018 17:00,4431,55.33
17.01.2018 17:00 - 17.01.2018 18:00,4368,55.11
17.01.2018 18:00 - 17.01.2018 19:00,4220,49.03
17.01.2018 19:00 - 17.01.2018 20:00,4051,40.77666667
17.01.2018 20:00 - 17.01.2018 21:00,3851,37.34666667
17.01.2018 21:00 - 17.01.2018 22:00,3523,33.91
17.01.2018 22:00 - 17.01.2018 23:00,3198,30.82666667
17.01.2018 23:00 - 18.01.2018 00:00,2953,29.54333333
18.01.2018 00:00 - 18.01.2018 01:00,2789,29.12
18.01.2018 01:00 - 18.01.2018 02:00,2718,28.6
18.01.2018 02:00 - 18.01.2018 03:00,2706,28.46
18.01.2018 03:00 - 18.01.2018 04:00,2776,28.34
18.01.2018 04:00 - 18.01.2018 05:00,2934,28.75
18.01.2018 05:00 - 18.01.2018 06:00,3407,32.17
18.01.2018 06:00 - 18.01.2018 07:00,3927,47.55
18.01.2018 07:00 - 18.01.2018 08:00,4273,50.04
18.01.2018 08:00 - 18.01.2018 09:00,4377,48.71
18.01.2018 09:00 - 18.01.2018 10:00,4411,51.87
18.01.2018 10:00 - 18.01.2018 11:00,4393,53.62
18.01.2018 11:00 - 18.01.2018 12:00,4312,56.84
18.01.2018 12:00 - 18.01.2018 13:00,4336,56.32
18.01.2018 13:00 - 18.01.2018 14:00,4295,55.06666667
18.01.2018 14:00 - 18.01.2018 15:00,4291,51.41
18.01.2018 15:00 - 18.01.2018 16:00,4369,48.86
18.01.2018 16:00 - 18.01.2018 17:00,4431,50.71
18.01.2018 17:00 - 18.01.2018 18:00,4373,48.87
18.01.2018 18:00 - 18.01.2018 19:00,4229,47.06
18.01.2018 19:00 - 18.01.2018 20:00,4073,41.49
18.01.2018 20:00 - 18.01.2018 21:00,3843,38.93
18.01.2018 21:00 - 18.01.2018 22:00,3491,34.86
18.01.2018 22:00 - 18.01.2018 23:00,3161,32.57
18.01.2018 23:00 - 19.01.2018 00:00,2981,30.45
19.01.2018 00:00 - 19.01.2018 01:00,2820,30
19.01.2018 01:00 - 19.01.2018 02:00,2765,29.97
19.01.2018 02:00 - 19.01.2018 03:00,2758,29.49
19.01.2018 03:00 - 19.01.2018 04:00,2790,29.56
19.01.2018 04:00 - 19.01.2018 05:00,2946,30.02
19.01.2018 05:00 - 19.01.2018 06:00,3478,67.05
19.01.2018 06:00 - 19.01.2018 07:00,3935,71.09
19.01.2018 07:00 - 19.01.2018 08:00,4287,61.33
19.01.2018 08:00 - 19.01.2018 09:00,4407,62.67
19.01.2018 09:00 - 19.01.2018 10:00,4395,56.55
19.01.2018 10:00 - 19.01.2018 11:00,4362,55.07
19.01.2018 11:00 - 19.01.2018 12:00,4273,55.02
19.01.2018 12:00 - 19.01.2018 13:00,4311,55.06
19.01.2018 13:00 - 19.01.2018 14:00,4265,59.04
19.01.2018 14:00 - 19.01.2018 15:00,4241,60.41
19.01.2018 15:00 - 19.01.2018 16:00,4305,71.08
